time,dl_lw1,dl_lw2,dl_lw3,dl_lw4
2025-04-20 22:42:35.698293,413.71,184.77,0,39.2
2025-04-20 22:42:36.709757,413.71,188.59,0,39.2
2025-04-20 22:42:37.715826,413.71,191.97,0,39.2
2025-04-20 22:42:38.728992,413.71,196.62,0,39.2
2025-04-20 22:42:39.810438,413.71,200.44,0,39.2
2025-04-20 22:42:40.853933,413.71,204.26,0,39.2
2025-04-20 22:42:41.823598,413.71,208.08,0,39.2
2025-04-20 22:42:42.890332,413.71,211.9,0,39.2
2025-04-20 22:42:43.900756,413.71,215.73,0,39.2
2025-04-20 22:42:44.921966,413.71,219.55,0,39.2
2025-04-20 22:42:45.980602,413.71,223.37,0,39.2
2025-04-20 22:42:47.072696,413.71,227.19,0,39.2
2025-04-20 22:42:48.044128,413.71,231.01,0,39.2
2025-04-20 22:42:49.074105,413.71,234.84,0,39.2
2025-04-20 22:42:50.093300,413.71,238.66,0,39.2
2025-04-20 22:42:51.172141,413.71,242.48,0,39.2
2025-04-20 22:42:52.131527,413.71,245.15,0,39.2
2025-04-20 22:42:53.170355,413.71,247.83,0,39.2
2025-04-20 22:42:54.193617,413.71,250.5,0,39.2
2025-04-20 22:42:55.246473,413.71,253.18,0,39.2
2025-04-20 22:42:56.199624,413.71,255.85,0,39.2
2025-04-20 22:42:57.223269,413.71,258.52,0,39.2
2025-04-20 22:42:58.233342,413.71,261.2,0,39.2
2025-04-20 22:42:59.244353,413.71,263.27,0,39.2
2025-04-20 22:43:00.249325,413.71,265.34,0,39.2
2025-04-20 22:43:01.271821,413.71,267.41,0,39.2
2025-04-20 22:43:02.291368,413.71,269.49,0,39.2
2025-04-20 22:43:03.289388,413.71,271.56,0,39.2
2025-04-20 22:43:04.329145,413.71,273.63,0,39.2
2025-04-20 22:43:05.339887,413.71,275.7,0,39.2
2025-04-20 22:43:06.357354,413.71,277.35,0,39.2
2025-04-20 22:43:07.382825,413.71,279.01,0,39.2
2025-04-20 22:43:08.410111,415.37,279.01,0,39.2
2025-04-20 22:43:09.416516,417.02,279.01,0,39.2
2025-04-20 22:43:10.479374,418.67,279.01,0,39.2
2025-04-20 22:43:11.475726,420.32,279.01,0,39.2
2025-04-20 22:43:12.497238,422.39,279.01,0,39.2
2025-04-20 22:43:13.584284,424.47,279.01,0,39.2
2025-04-20 22:43:14.534204,426.12,279.01,0,39.2
2025-04-20 22:43:15.543087,427.77,279.01,0,39.2
2025-04-20 22:43:16.571480,429.84,279.01,0,39.2
2025-04-20 22:43:17.574734,431.91,279.01,0,39.2
2025-04-20 22:43:18.582173,433.99,279.01,0,39.2
2025-04-20 22:43:19.603360,436.06,279.01,0,39.2
2025-04-20 22:43:20.630259,438.13,279.01,0,39.2
2025-04-20 22:43:21.638266,439.78,279.01,0,39.2
2025-04-20 22:43:22.693267,441.85,279.01,0,39.2
2025-04-20 22:43:23.680413,443.93,279.01,0,39.2
2025-04-20 22:43:24.761918,446,279.01,0,39.2
2025-04-20 22:43:25.721634,448.07,279.01,0,39.2
2025-04-20 22:43:26.714806,450.74,279.01,0,39.2
2025-04-20 22:43:27.731317,452.82,279.01,0,39.2
2025-04-20 22:43:28.737242,454.89,279.01,0,39.2
2025-04-20 22:43:29.743750,456.96,279.01,0,39.2
2025-04-20 22:43:30.833379,459.03,279.01,0,39.2
2025-04-20 22:43:31.841995,461.71,279.01,0,39.2
2025-04-20 22:43:32.884664,463.78,279.01,0,39.2
2025-04-20 22:43:33.916443,465.85,279.01,0,39.2
2025-04-20 22:43:34.948765,467.92,279.01,0,39.2
2025-04-20 22:43:36.005335,469.99,279.01,0,39.2
2025-04-20 22:43:36.994652,472.07,279.01,0,39.2
2025-04-20 22:43:38.028805,474.14,279.01,0,39.2
2025-04-20 22:43:39.060881,476.21,279.01,0,39.2
2025-04-20 22:43:40.063408,478.28,279.01,0,39.2
2025-04-20 22:43:41.104337,480.35,279.01,0,39.2
2025-04-20 22:43:42.092081,482.43,279.01,0,39.2
2025-04-20 22:43:43.116605,484.08,279.01,0,39.2
2025-04-20 22:43:44.141628,486.15,279.01,0,39.2
2025-04-20 22:43:45.198047,487.8,279.01,0,39.2
2025-04-20 22:43:46.155591,489.45,279.01,0,39.2
2025-04-20 22:43:47.172743,491.53,279.01,0,39.2
2025-04-20 22:43:48.188968,493.18,279.01,0,39.2
2025-04-20 22:43:49.259062,494.83,279.01,0,39.2
2025-04-20 22:43:50.234616,496.06,279.01,0,39.2
2025-04-20 22:43:51.299678,497.71,279.01,0,39.2
2025-04-20 22:43:52.298149,499.37,279.01,0,39.2
2025-04-20 22:43:53.306263,501.44,279.01,0,39.2
2025-04-20 22:43:54.312410,502.67,279.01,0,39.2
2025-04-20 22:43:55.342237,502.67,279.01,1.65,39.2
2025-04-20 22:43:56.358415,502.67,279.01,2.88,39.2
2025-04-20 22:43:57.368212,502.67,279.01,4.54,39.2
2025-04-20 22:43:58.408825,504.32,279.01,4.54,39.2
2025-04-20 22:43:59.398821,504.32,279.01,6.19,39.2
2025-04-20 22:44:00.420043,504.32,279.01,7.84,39.2
2025-04-20 22:44:01.433362,504.32,279.01,9.49,39.2
2025-04-20 22:44:02.446158,504.32,279.01,11.14,39.2
2025-04-20 22:44:03.494576,504.32,279.01,12.8,39.2
2025-04-20 22:44:04.499074,504.32,279.01,14.45,39.2
2025-04-20 22:44:05.506893,504.32,279.01,16.1,39.2
2025-04-20 22:44:06.513804,504.32,279.01,17.75,39.2
2025-04-20 22:44:07.570530,504.32,279.01,19.82,39.2
2025-04-20 22:44:08.582992,504.32,279.01,21.9,39.2
2025-04-20 22:44:09.612520,504.32,279.01,23.97,39.2
2025-04-20 22:44:10.611694,504.32,279.01,25.62,39.2
2025-04-20 22:44:11.659449,504.32,279.01,27.69,39.2
2025-04-20 22:44:12.680692,504.32,279.01,29.76,39.2
2025-04-20 22:44:13.694466,504.32,279.01,31.84,39.2
2025-04-20 22:44:14.721537,504.32,279.01,33.91,39.2
2025-04-20 22:44:15.754756,504.32,279.01,35.98,39.2
2025-04-20 22:44:16.795115,504.32,279.01,38.05,39.2
2025-04-20 22:44:17.787949,504.32,279.01,40.12,39.2
2025-04-20 22:44:18.844528,504.32,279.01,42.8,39.2
2025-04-20 22:44:19.844588,504.32,279.01,44.87,39.2
2025-04-20 22:44:20.875526,504.32,279.01,46.94,39.2
2025-04-20 22:44:21.921261,504.32,279.01,49.01,39.2
2025-04-20 22:44:22.955704,504.32,279.01,51.69,39.2
2025-04-20 22:44:23.994962,504.32,279.01,53.34,39.2
2025-04-20 22:44:24.975732,504.32,279.01,56.01,39.2
2025-04-20 22:44:26.012515,504.32,279.01,58.69,39.2
2025-04-20 22:44:27.047569,504.32,279.01,61.36,39.2
2025-04-20 22:44:28.056918,504.32,279.01,64.04,39.2
2025-04-20 22:44:29.069459,504.32,279.01,64.04,39.2
2025-04-20 22:44:30.092956,505.16,279.01,64.04,39.2
2025-04-20 22:44:31.154375,505.16,279.01,66.71,39.2
2025-04-20 22:44:32.142243,505.16,279.01,68.78,39.2
2025-04-20 22:44:33.201178,505.16,279.01,71.46,39.2
