num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
124,-78.6981184,35.7302527,25.004,-0.0012018070556223392,-0.01403103582561016,0.0003870657237712294,0.01,0.0,0.0,12.587,2025-04-20 22:41:22.243490,6,10
125,-78.6981184,35.7302527,25.003,-0.0007255449309013784,-0.8325268030166626,0.0009700673399493098,0.01,0.0,0.0,12.587,2025-04-20 22:41:23.244523,6,10
126,-78.6981184,35.7302527,25.002,-0.00015618778706993908,-0.6288031339645386,0.0012737450888380408,0.01,0.0,0.0,12.587,2025-04-20 22:41:24.246398,6,10
127,-78.6981186,35.7302527,25.003,0.00032323115738108754,-0.4187913239002228,0.0026069979649037123,0.01,0.01,0.0,12.587,2025-04-20 22:41:25.248219,6,10
128,-78.6981187,35.7302527,25.004,0.0009381133131682873,-0.6569256782531738,0.00225323298946023,0.0,0.02,0.0,12.587,2025-04-20 22:41:26.250504,6,10
129,-78.6981187,35.7302527,25.004,0.0011568363988772035,-0.5347490906715393,0.0018190377159044147,0.0,0.02,0.0,12.587,2025-04-20 22:41:27.251834,6,10
130,-78.6981187,35.7302528,25.002,0.0016408383380621672,-0.5670375823974609,0.001749880611896515,0.0,0.02,0.0,12.587,2025-04-20 22:41:28.252465,6,10
131,-78.6981188,35.7302529,25.002,0.0025080214254558086,-1.6492642164230347,-0.0014141303254291415,0.0,0.03,0.0,12.587,2025-04-20 22:41:29.253558,6,10
132,-78.6981189,35.7302527,25.001,-0.1783038228750229,-2.971341848373413,0.0636059045791626,-0.27,-0.11,0.0,12.587,2025-04-20 22:41:30.254053,6,10
133,-78.6981274,35.7302409,25.001,-0.3370791971683502,-2.6989705562591553,0.027441784739494324,-2.44,-1.4,0.0,12.587,2025-04-20 22:41:31.254989,6,10
134,-78.6981495,35.7302098,25.002,-0.42573484778404236,-2.3439688682556152,-0.09831627458333969,-4.5,-2.58,0.0,12.587,2025-04-20 22:41:32.255291,6,10
135,-78.6981849,35.7301603,25.0,-0.44126075506210327,-2.687051773071289,0.04218829795718193,-6.26,-3.72,-0.01,12.587,2025-04-20 22:41:33.256084,6,10
136,-78.6982285,35.7301009,24.997,-0.41658538579940796,-2.5359952449798584,-0.026698803529143333,-6.72,-4.0,0.0,12.587,2025-04-20 22:41:34.256574,6,10
137,-78.6982736,35.7300384,24.991,-0.41842740774154663,-2.5318386554718018,-0.010754084214568138,-6.99,-4.09,0.0,12.587,2025-04-20 22:41:35.257155,6,10
138,-78.6983198,35.729975,24.993,-0.40971454977989197,-2.6034584045410156,0.004320921842008829,-7.01,-4.19,0.0,12.587,2025-04-20 22:41:36.257828,6,10
139,-78.6983662,35.7299116,24.995,-0.40290671586990356,-2.535460948944092,-0.018738213926553726,-7.01,-4.13,0.0,12.587,2025-04-20 22:41:37.259024,6,10
140,-78.6984121,35.7298483,24.997,-0.3929578959941864,-2.5693135261535645,-0.0029747707303613424,-6.95,-4.09,0.0,12.587,2025-04-20 22:41:38.260114,6,10
141,-78.6984574,35.729786,24.998,-0.39835599064826965,-2.5666606426239014,-0.007608316373080015,-6.9,-4.07,0.0,12.587,2025-04-20 22:41:39.260462,6,10
142,-78.6985025,35.7297239,24.998,-0.3946326673030853,-2.553818464279175,-0.009134420193731785,-6.88,-4.05,0.0,12.587,2025-04-20 22:41:40.261649,6,10
143,-78.6985473,35.7296621,24.998,-0.4025154709815979,-2.5670056343078613,-0.004939963109791279,-6.89,-4.07,0.0,12.587,2025-04-20 22:41:41.262565,6,10
144,-78.6985923,35.7296001,24.997,-0.39703506231307983,-2.5604195594787598,-0.006968908477574587,-6.89,-4.07,0.0,12.587,2025-04-20 22:41:42.263528,6,10
145,-78.6986374,35.729538,24.996,-0.39857837557792664,-2.560931444168091,-0.0059585231356322765,-6.88,-4.06,0.0,12.587,2025-04-20 22:41:43.264122,6,10
146,-78.6986825,35.7294759,24.996,-0.39059925079345703,-2.564063787460327,-0.005347855854779482,-6.87,-4.06,0.0,12.587,2025-04-20 22:41:44.264555,6,10
147,-78.6987275,35.729414,24.997,-0.39944884181022644,-2.5609796047210693,-0.006702784914523363,-6.86,-4.05,0.0,12.587,2025-04-20 22:41:45.264920,6,10
148,-78.6987723,35.7293523,24.997,-0.3953021168708801,-2.5632107257843018,-0.0058500212617218494,-6.88,-4.07,0.0,12.587,2025-04-20 22:41:46.265746,6,10
149,-78.6988173,35.7292902,24.996,-0.398683100938797,-2.5621533393859863,-0.005495223682373762,-6.87,-4.06,0.0,12.587,2025-04-20 22:41:47.266554,6,10
150,-78.6988623,35.7292283,24.997,-0.393240362405777,-2.5621378421783447,-0.005747818388044834,-6.88,-4.07,0.0,12.587,2025-04-20 22:41:48.267176,6,10
151,-78.6989075,35.7291661,24.998,-0.3949943482875824,-2.5622639656066895,-0.006040999665856361,-6.85,-4.05,0.0,12.587,2025-04-20 22:41:49.268216,6,10
152,-78.6989524,35.7291043,24.998,-0.39209991693496704,-2.5609829425811768,-0.00669502466917038,-6.86,-4.05,0.0,12.587,2025-04-20 22:41:50.269030,6,10
153,-78.6989972,35.7290427,24.996,-0.40120917558670044,-2.5629830360412598,-0.006221290677785873,-6.85,-4.05,0.0,12.587,2025-04-20 22:41:51.270087,6,10
154,-78.6990419,35.7289811,24.995,-0.4003596305847168,-2.56225323677063,-0.006239322479814291,-6.89,-4.07,0.0,12.587,2025-04-20 22:41:52.270426,6,10
155,-78.6990871,35.7289187,24.997,-0.39679133892059326,-2.561591148376465,-0.005240230821073055,-6.88,-4.06,0.0,12.587,2025-04-20 22:41:53.271339,6,10
156,-78.6991321,35.7288568,24.998,-0.394133061170578,-2.5620505809783936,-0.005618300288915634,-6.86,-4.06,0.0,12.587,2025-04-20 22:41:54.271838,6,10
157,-78.6991772,35.7287948,24.998,-0.3947860598564148,-2.562272548675537,-0.006539305206388235,-6.84,-4.04,0.0,12.587,2025-04-20 22:41:55.273488,6,10
158,-78.699222,35.7287332,24.996,-0.3976936340332031,-2.562053918838501,-0.006326889153569937,-6.86,-4.05,0.0,12.587,2025-04-20 22:41:56.273930,6,10
159,-78.6992668,35.7286714,24.996,-0.3998706638813019,-2.5625905990600586,-0.005594455171376467,-6.87,-4.05,0.0,12.587,2025-04-20 22:41:57.274950,6,10
160,-78.6993118,35.7286094,24.998,-0.3989723324775696,-2.5619521141052246,-0.006088017486035824,-6.88,-4.06,0.0,12.587,2025-04-20 22:41:58.276163,6,10
