time,dl_lw1,dl_lw2,dl_lw3,dl_lw4,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites
2025-04-20 22:41:19.039,412.48,6.58,0,11.96,120.79870676863,-78.6981185201293,35.7302529201293,25.0017987067686,-0.000950737280580364,-1.8942121672483,0.000612159113445833,-0.0120129323136971,0.00201293231369708,0,12.587,6,10
2025-04-20 22:41:20.050,412.48,6.58,0,13.61,121.808523495698,-78.6981184191476,35.7302528191477,25.0036170469914,-0.000245559056140713,-2.1026244940782,0.00121965894075056,-0.00191476504301995,0,0,12.587,6,10
2025-04-20 22:41:21.082,412.48,6.58,0,15.26,122.84021762703,-78.6981184,35.7302528,25.004,-0.00101609015383873,-0.917886651424664,0.00091835667574276,0,0,0,12.587,6,10
2025-04-20 22:41:22.100,412.48,6.58,0,17.33,123.857223360707,-78.6981184,35.7302527142777,25.004,-0.00120102693075719,-0.109895028328404,0.000452293374902197,0.00857223360706913,0,0,12.587,6,10
2025-04-20 22:41:23.175,412.48,6.58,0,18.98,124.931207063104,-78.6981184,35.7302527,25.0030687929369,-0.000758308401193352,-0.776220075354492,0.000929960946557196,0.01,0,0,12.587,6,10
2025-04-20 22:41:24.197,412.48,6.58,0,20.64,125.951160573924,-78.6981184,35.7302527,25.0020488394261,-0.000183994863206996,-0.638752881039163,0.00125891364187023,0.01,0,0,12.587,6,10
2025-04-20 22:41:25.197,412.48,6.58,0,21.87,126.948906042097,-78.6981185897812,35.7302527,25.0029489060421,0.000298735746015574,-0.429521658482708,0.00253887679858043,0.01,0.0094890604209735,0,12.587,6,10
2025-04-20 22:41:26.203,412.48,6.58,0,23.1,127.953246830991,-78.6981186953247,35.7302527,25.003953246831,0.000909365623818264,-0.645792142537305,0.00226977262314654,0.000467531690088153,0.0195324683099118,0,12.587,6,10
2025-04-20 22:41:27.221,412.48,6.58,0,25.17,128.969754226878,-78.6981187,35.7302527,25.004,0.00115022095005036,-0.538444416020324,0.00183217028763892,0,0.02,0,12.587,6,10
2025-04-20 22:41:28.227,412.48,6.58,0,26.82,129.974697965584,-78.6981187,35.7302527974698,25.0020506040688,0.00162859210433936,-0.566220617868562,0.00175163042732225,0,0.02,0,12.587,6,10
2025-04-20 22:41:29.293,412.48,6.58,0,28.48,131.039481456679,-78.6981188039481,35.7302528921037,25.0019605185433,-0.00463069357233159,-1.70146176717507,0.00115295536591923,-0.010659993303312,0.0244725960649493,0,12.587,6,10
2025-04-20 22:41:30.280,412.48,6.58,0,30.13,132.026455237897,-78.6981191248695,35.7302523878282,25.001,-0.18250426317419,-2.96413620104413,0.0626491741854568,-0.327407866237193,-0.144127256887548,0,12.587,6,10
2025-04-20 22:41:31.321,412.48,6.58,0,31.36,133.066054051676,-78.6981288597946,35.730238845719,25.0010660540517,-0.342935262095523,-2.67552125641456,0.0191349553902617,-2.57607134645336,-1.47794378097814,0,12.587,6,10
2025-04-20 22:41:32.341,412.48,8.23,0,31.36,134.086534378238,-78.698152563317,35.7302055165483,25.0018269312435,-0.427078372516931,-2.37365733410795,-0.0861577987589413,-4.65230050569899,-2.67864919119139,-0.000865343782380596,12.587,6,10
2025-04-20 22:41:33.377,412.48,9.88,0,31.36,135.121053683695,-78.6981901779406,35.7301531094112,24.9996368389489,-0.43827371071632,-2.66876582389965,0.0338492605631918,-6.31568469449969,-3.7538950314346,-0.00878946316305012,12.587,6,10
2025-04-20 22:41:34.399,412.48,11.12,0,31.36,136.142857999502,-78.6982349428958,35.730091971375,24.996142852003,-0.416848533369101,-2.53540144291799,-0.0244209728252375,-6.75857165986562,-4.01285721995521,0,12.587,6,10
2025-04-20 22:41:35.431,412.48,11.12,0,33.01,137.174452593405,-78.6982816597098,35.7300273397056,24.9913489051868,-0.41690742707417,-2.54433290643592,-0.00812421031240753,-6.99348905186809,-4.10744525934046,0,12.587,6,10
2025-04-20 22:41:36.475,412.48,11.12,0,34.66,138.217213212997,-78.6983298786931,35.7299612286823,24.993434426426,-0.408235798302752,-2.58868845873517,-0.000687827127220815,-7.01,-4.17696720722016,0,12.587,6,10
2025-04-20 22:41:37.456,412.48,11.12,0,36.32,139.197118141226,-78.6983752477227,35.7298991224217,24.9953942362825,-0.400945622988609,-2.54213390603933,-0.0156309533043977,-6.99817291152644,-4.12211527435096,0,12.587,6,10
2025-04-20 22:41:38.521,412.48,11.12,0,37.55,140.26179189642,-78.6984239591729,35.7298319903649,24.9972617918964,-0.394371073430734,-2.56861902274335,-0.00418779543131751,-6.936910405179,-4.0847641620716,0,12.587,6,10
2025-04-20 22:41:39.591,412.48,12.77,0,37.55,141.33065151665,-78.6984723123834,35.7297654665408,24.998,-0.397124868137207,-2.56241435687713,-0.00811292491594347,-6.89338696966701,-4.063386969667,0,12.587,6,10
2025-04-20 22:41:40.710,412.48,14,0,37.55,142.448561118016,-78.6985225955381,35.7296961789229,24.998,-0.398168586534219,-2.55973371601071,-0.00725294983468975,-6.88448561118016,-4.05897122236032,0,12.587,6,10
2025-04-20 22:41:41.725,412.48,14,0,39.2,143.462667451244,-78.6985681200353,35.729633414618,24.9975373325488,-0.399979864271157,-2.56395847185298,-0.00587869009181781,-6.89,-4.07,0,12.587,6,10
